Modelo,Acuracia,Precisao,Recall,F1-score,Parametros
CNN1 - Baseline,0.9781818181818182,0.9855072463768116,0.9714285714285714,0.9784172661870504,8408257
CNN2 v2 - Profunda ajustada,0.9854545454545455,0.9788732394366197,0.9928571428571429,0.9858156028368794,305953
